modelo,threshold,accuracy,precision,recall,f1,auc_roc,avg_prec,TN,FP,FN,TP
MLP (umbral=0.50),0.5,0.7527,0.4229,0.7735,0.5468,0.8412,0.6114,6036,2036,437,1492
MLP (umbral=0.65),0.65,0.8264,0.5449,0.6076,0.5745,0.8412,0.6114,7093,979,757,1172
